CONCEPT_CODE	PARENT_CODE	CONCEPT_NAME	PARENT_NAME	SOURCE_SYSTEM
Ambulatory	UMLS:C0002423	Ambulatory	Ambulatory	UABCOVID19
AMBVitals	ACT_COVID_VITALS	AMB Vitals	Vitals	UABCOVID19
ArterialLine#1Information	UMLS:C1547136	Arterial Line #1 Information	Inpatient (Critical Care)	UABCOVID19
ArterialLineInsertion/Care/Removal	UMLS:C1547136	Arterial Line Insertion/Care/Removal	Inpatient (Critical Care)	UABCOVID19
ArtificialAirway	UMLS:C0021925	Artificial Airway	Intubation	UABCOVID19
COLUMN85	UMLS:C1547137	If yes, date of hospital admission	Inpatient (Routine)	UABREDCAPCOVID19
COLUMN87	UMLS:C1547136	Did hospital admission result in ICU admission?	Inpatient (Critical Care)	UABREDCAPCOVID19
COLUMN88	UMLS:C1547136	If yes, date of ICU admission	Inpatient (Critical Care)	UABREDCAPCOVID19
COLUMN94	UMLS:C0037088	Has participant had any of the following risk factors for exposure? (choice=Contact with confirmed COVID-19 case)	Diagnosis	UABREDCAPCOVID19
COVID:1012367158	UMLS:C4534306	Oxygen With Feedings	Supplemental Oxygen	UABCOVID19
COVID:1015244801	DEM_VITAL_STATUS_DECEASED	Home Health/Hospice Care, AMB	Known Deceased	UABCOVID19
COVID:1026453713	UMLS:C1547136	NICU Attending Physician	Inpatient (Critical Care)	UABCOVID19
COVID:1050575172	UMLS:C4534306	Oxygen Details	Supplemental Oxygen	UABCOVID19
COVID:1064373091	UMLS:C1561585	UED NU-DESC Delirium Assessment	Emergency	UABCOVID19
COVID:1087618941	UMLS:C1547136	CC IntraAortic Balloon Pump	Inpatient (Critical Care)	UABCOVID19
COVID:1087674704	UMLS:C1547136	CC IntraAortic Balloon Pump	Inpatient (Critical Care)	UABCOVID19
COVID:1093066361	UMLS:C1547136	Reason For Critical Care Adm Resolved	Inpatient (Critical Care)	UABCOVID19
COVID:1094526897	UMLS:C1547136	INTRA AORTIC BALLOON PUMP	Inpatient (Critical Care)	UABCOVID19
COVID:1113402676	UMLS:C0199470	Ventilator Order Pressure Weaning RNICU	Mechanical Ventilation	UABCOVID19
